"","Software","n_packages","Percent"
"1","Stata",1862,72.96
"2","Matlab",573,22.45
"3","None",258,10.11
"4","SAS",111,4.35
"5","R",97,3.8
"6","Fortran",64,2.51
"7","Python",54,2.12
"8","Unknown",37,1.45
"9","C",34,1.33
"10","General",29,1.14
"11","Shell",29,1.14
"12","Windows",24,0.94
