"","doi","title","publicationYear","version","created","registered","updated"
"1","10.3886/e229601v2","Replication data for: The Interest Rate, Learning, and Inventory Investment",2004,"v2",,,
"2","10.3886/e229581v2","Replication data for: Inequality Aversion, Efficiency, and Maximin Preferences in Simple Distribution Experiments",2004,"v2",,,
