"","doi","relationType","relatedIdentifier","relatedIdentifierType"
"69","10.3886/e231538v1","IsSupplementTo","10.1257/mac.20180090","DOI"
"70","10.3886/e231537v1","IsSupplementTo","10.1257/mac.20170446","DOI"
"71","10.3886/e231536v1","IsSupplementTo","10.1257/mac.20170436","DOI"
"72","10.3886/e231535v1","IsSupplementTo","10.1257/mac.20170403","DOI"
"73","10.3886/e231534v1","IsSupplementTo","10.1257/mac.20170402","DOI"
"74","10.3886/e231533v1","IsSupplementTo","10.1257/mac.20170399","DOI"
"75","10.3886/e231532v1","IsSupplementTo","10.1257/mac.20170391","DOI"
"76","10.3886/e231531v1","IsSupplementTo","10.1257/mac.20170319","DOI"
"77","10.3886/e231530v1","IsSupplementTo","10.1257/mac.20170189","DOI"
"78","10.3886/e231529v1","IsSupplementTo","10.1257/mac.20170176","DOI"
"79","10.3886/e231528v1","IsSupplementTo","10.1257/mac.20170114","DOI"
"80","10.3886/e231527v1","IsSupplementTo","10.1257/mac.20170097","DOI"
"81","10.3886/e231526v1","IsSupplementTo","10.1257/mac.20170061","DOI"
"82","10.3886/e231525v1","IsSupplementTo","10.1257/mac.20170040","DOI"
"83","10.3886/e231524v1","IsSupplementTo","10.1257/mac.20160419","DOI"
"84","10.3886/e231523v1","IsSupplementTo","10.1257/mac.20160371","DOI"
"85","10.3886/e231510v1","IsSupplementTo","10.1257/mac.20160241","DOI"
"86","10.3886/e231507v1","IsSupplementTo","10.1257/mac.20160236","DOI"
"87","10.3886/e231506v1","IsSupplementTo","10.1257/mac.20160202","DOI"
"88","10.3886/e231505v1","IsSupplementTo","10.1257/mac.20160162","DOI"
"89","10.3886/e231504v1","IsSupplementTo","10.1257/mac.20160124","DOI"
"90","10.3886/e231503v1","IsSupplementTo","10.1257/mac.20160085","DOI"
"91","10.3886/e231501v1","IsSupplementTo","10.1257/mac.20160023","DOI"
"92","10.3886/e231500v1","IsSupplementTo","10.1257/mac.20130322","DOI"
"93","10.3886/e231498v1","IsSupplementTo","10.1257/jep.34.1.31","DOI"
"94","10.3886/e231499v1","IsSupplementTo","10.1257/jep.34.1.94","DOI"
"95","10.3886/e231497v1","IsSupplementTo","10.1257/jep.34.1.170","DOI"
"96","10.3886/e231496v1","IsSupplementTo","10.1257/jep.34.1.145","DOI"
"97","10.3886/e231495v1","IsSupplementTo","10.1257/jep.34.1.122","DOI"
"98","10.3886/e231494v1","IsSupplementTo","10.1257/jep.33.4.51","DOI"
"99","10.3886/e231491v1","IsSupplementTo","10.1257/jep.33.4.187","DOI"
"100","10.3886/e231488v1","IsSupplementTo","10.1257/jep.33.4.100","DOI"
"101","10.3886/e231487v1","IsSupplementTo","10.1257/jep.30.3.249","DOI"
"102","10.3886/e231486v1","IsSupplementTo","10.1257/jep.28.4.3","DOI"
"103","10.3886/e231485v1","IsSupplementTo","10.1257/app.5.3.63","DOI"
"104","10.3886/e231484v1","IsSupplementTo","10.1257/app.20190070","DOI"
"105","10.3886/e231483v1","IsSupplementTo","10.1257/app.20180698","DOI"
"106","10.3886/e231482v1","IsSupplementTo","10.1257/app.20180666","DOI"
"107","10.3886/e231481v1","IsSupplementTo","10.1257/app.20180574","DOI"
"108","10.3886/e231480v1","IsSupplementTo","10.1257/app.20180518","DOI"
"109","10.3886/e231479v1","IsSupplementTo","10.1257/app.20180438","DOI"
"110","10.3886/e231478v1","IsSupplementTo","10.1257/app.20180435","DOI"
"111","10.3886/e231477v1","IsSupplementTo","10.1257/app.20180426","DOI"
"112","10.3886/e231476v1","IsSupplementTo","10.1257/app.20180369","DOI"
"113","10.3886/e231475v1","IsSupplementTo","10.1257/app.20180361","DOI"
"114","10.3886/e231474v1","IsSupplementTo","10.1257/app.20180329","DOI"
"115","10.3886/e231473v1","IsSupplementTo","10.1257/app.20180306","DOI"
"116","10.3886/e231472v1","IsSupplementTo","10.1257/app.20180302","DOI"
"117","10.3886/e231471v1","IsSupplementTo","10.1257/app.20180256","DOI"
"118","10.3886/e231470v1","IsSupplementTo","10.1257/app.20180201","DOI"
"119","10.3886/e231469v1","IsSupplementTo","10.1257/app.20180192","DOI"
"120","10.3886/e231468v1","IsSupplementTo","10.1257/app.20180155","DOI"
"121","10.3886/e231467v1","IsSupplementTo","10.1257/app.20180138","DOI"
"122","10.3886/e231466v1","IsSupplementTo","10.1257/app.20180047","DOI"
"123","10.3886/e231465v1","IsSupplementTo","10.1257/app.20180036","DOI"
"124","10.3886/e231464v1","IsSupplementTo","10.1257/app.20180017","DOI"
"125","10.3886/e231463v1","IsSupplementTo","10.1257/app.20170778","DOI"
"126","10.3886/e231462v1","IsSupplementTo","10.1257/app.20170717","DOI"
"127","10.3886/e231461v1","IsSupplementTo","10.1257/app.20170690","DOI"
"128","10.3886/e231460v1","IsSupplementTo","10.1257/app.20170647","DOI"
"129","10.3886/e231459v1","IsSupplementTo","10.1257/app.20170599","DOI"
"130","10.3886/e231458v1","IsSupplementTo","10.1257/app.20170579","DOI"
"131","10.3886/e231457v1","IsSupplementTo","10.1257/app.20170574","DOI"
"132","10.3886/e231456v1","IsSupplementTo","10.1257/app.20170511","DOI"
"133","10.3886/e231455v1","IsSupplementTo","10.1257/app.20170505","DOI"
"134","10.3886/e231454v1","IsSupplementTo","10.1257/app.20170487","DOI"
"135","10.3886/e231453v1","IsSupplementTo","10.1257/app.20170482","DOI"
"136","10.3886/e231452v1","IsSupplementTo","10.1257/app.20170453","DOI"
"137","10.3886/e231451v1","IsSupplementTo","10.1257/app.20170416","DOI"
"138","10.3886/e231450v1","IsSupplementTo","10.1257/app.20170382","DOI"
"139","10.3886/e231449v1","IsSupplementTo","10.1257/app.20170231","DOI"
"140","10.3886/e231448v1","IsSupplementTo","10.1257/app.20170066","DOI"
"141","10.3886/e231446v1","IsSupplementTo","10.1257/app.20140473","DOI"
"142","10.3886/e231445v1","IsSupplementTo","10.1257/app.20140105","DOI"
"143","10.3886/e231444v1","IsSupplementTo","10.1257/aeri.20190097","DOI"
"144","10.3886/e231443v1","IsSupplementTo","10.1257/aeri.20190096","DOI"
"145","10.3886/e231442v1","IsSupplementTo","10.1257/aeri.20190079","DOI"
"146","10.3886/e231441v1","IsSupplementTo","10.1257/aeri.20190041","DOI"
"147","10.3886/e231440v1","IsSupplementTo","10.1257/aeri.20190023","DOI"
"148","10.3886/e231439v1","IsSupplementTo","10.1257/aeri.20180633","DOI"
"149","10.3886/e231438v1","IsSupplementTo","10.1257/aeri.20180582","DOI"
"150","10.3886/e231437v1","IsSupplementTo","10.1257/aeri.20180481","DOI"
"151","10.3886/e231435v1","IsSupplementTo","10.1257/aeri.20180432","DOI"
"152","10.3886/e231431v1","IsSupplementTo","10.1257/aeri.20180333","DOI"
"153","10.3886/e231434v1","IsSupplementTo","10.1257/aeri.20180399","DOI"
"154","10.3886/e231433v1","IsSupplementTo","10.1257/aeri.20180396","DOI"
"155","10.3886/e231432v1","IsSupplementTo","10.1257/aeri.20180383","DOI"
"156","10.3886/e231430v1","IsSupplementTo","10.1257/aeri.20180150","DOI"
"157","10.3886/e231428v1","IsSupplementTo","10.1257/aer.p20171053","DOI"
"158","10.3886/e231429v1","IsSupplementTo","10.1257/aeri.20180120","DOI"
"159","10.3886/e231427v1","IsSupplementTo","10.1257/aer.p20161116","DOI"
"160","10.3886/e231426v1","IsSupplementTo","10.1257/aer.98.1.394","DOI"
"161","10.3886/e231425v1","IsSupplementTo","10.1257/aer.97.5.1751","DOI"
