aa_ID,aa_DOI,aa_URL,datafile_name
12905,10.1257/mac.20180263,,mac_20180263_data.zip
12910,10.1257/mac.20180290,,mac_20180290_data.zip
12913,10.1257/mac.20180190,,mac_20180190_data.zip
12942,10.1257/app.20170647,NULL,app_20170647_data.zip
12945,10.1257/app.20180666,NULL,app_20180666_data.zip
12947,10.1257/app.20170574,NULL,app_20170574_data.zip
12950,10.1257/app.20170231,NULL,app_20170231_data.zip
12952,10.1257/app.20180138,NULL,app_20180138_data.zip
12955,10.1257/app.20180047,NULL,app_20180047_data.zip
12958,10.1257/app.20140105,NULL,app_20140105_data.zip
12961,10.1257/app.20180426,NULL,app_20180426_data.zip
12964,10.1257/app.20180698,NULL,app_20180698_data.zip
12967,10.1257/app.20180574,NULL,app_20180574_data.zip
13302,10.1257/aeri.20180481,NULL,aeri_20180481_data.zip
13413,10.1257/app.20180302,NULL,app_20180302_data.zip
13416,10.1257/app.20170382,NULL,app_20170382_data.zip
13419,10.1257/app.20180518,NULL,app_20180518_data.zip
13422,10.1257/app.20170599,NULL,app_20170599_data.zip
13519,10.1257/pandp.20181073,NULL,pandp_20181073_data.zip
14055,10.1257/aer.20151655,NULL,aer_20151655_data.zip
